,county,year,unemployment
644,"Logan County, IL",1990,5.2
645,"McDonough County, IL",1990,3.2
646,"McHenry County, IL",1990,5.3
647,"McLean County, IL",1990,3.2
648,"Macon County, IL",1990,6.3
649,"Macoupin County, IL",1990,6.1
650,"Madison County, IL",1990,6.0
651,"Marion County, IL",1990,11.0
652,"Marshall County, IL",1990,4.2
653,"Mason County, IL",1990,6.9
654,"Massac County, IL",1990,6.8
655,"Menard County, IL",1990,4.0
656,"Mercer County, IL",1990,6.1
657,"Monroe County, IL",1990,5.8
658,"Montgomery County, IL",1990,7.2
659,"Morgan County, IL",1990,3.9
660,"Moultrie County, IL",1990,5.7
661,"Ogle County, IL",1990,5.0
662,"Peoria County, IL",1990,5.1
663,"Perry County, IL",1990,12.2
664,"Piatt County, IL",1990,4.6
665,"Pike County, IL",1990,6.5
666,"Pope County, IL",1990,9.8
667,"Pulaski County, IL",1990,10.7
668,"Putnam County, IL",1990,6.7
669,"Randolph County, IL",1990,7.6
670,"Richland County, IL",1990,6.7
671,"Rock Island County, IL",1990,4.9
672,"St. Clair County, IL",1990,7.2
673,"Saline County, IL",1990,9.5
674,"Sangamon County, IL",1990,3.4
675,"Schuyler County, IL",1990,8.3
676,"Scott County, IL",1990,5.7
677,"Shelby County, IL",1990,6.3
678,"Stark County, IL",1990,6.2
679,"Stephenson County, IL",1990,5.8
680,"Tazewell County, IL",1990,4.7
681,"Union County, IL",1990,10.4
682,"Vermilion County, IL",1990,8.6
683,"Wabash County, IL",1990,7.1
684,"Warren County, IL",1990,5.6
685,"Washington County, IL",1990,6.5
686,"Wayne County, IL",1990,9.2
687,"White County, IL",1990,8.7
688,"Whiteside County, IL",1990,5.4
689,"Will County, IL",1990,6.4
690,"Williamson County, IL",1990,9.0
691,"Winnebago County, IL",1990,5.3
692,"Woodford County, IL",1990,3.0
693,"Adams County, IN",1990,6.5
694,"Allen County, IN",1990,5.1
695,"Bartholomew County, IN",1990,4.8
696,"Benton County, IN",1990,3.4
697,"Blackford County, IN",1990,9.2
698,"Boone County, IN",1990,2.4
699,"Brown County, IN",1990,4.5
700,"Carroll County, IN",1990,4.1
701,"Cass County, IN",1990,6.8
702,"Clark County, IN",1990,5.9
703,"Clay County, IN",1990,5.0
704,"Clinton County, IN",1990,4.6
705,"Crawford County, IN",1990,9.9
706,"Daviess County, IN",1990,4.0
707,"Dearborn County, IN",1990,8.2
